nodes	links	mat-reg	mat-red	star-reg	star-red	deeps-min	
120	3.0	60649.4	50226.3	58477.0	50892.1	
120	6	71919.2	63507.9	69420.1	61822.3	
120	12	84425.8	75973.6	80477.5	76555.3	
120	24	89578.0	85075.4	87697.5	84430.9	
240	3.0	122188.1	99610.3	115223.6	101878.4	
240	6	143718.8	125738.1	153240.111111111	124626.3	
240	12	166468.1	152726.5	160152.0	149352.0	
240	24	178995.9	171565.3	175531.1	168290.0	
480	3.0	244547.5	202106.1	237569.9	204288.4	
480	6	288666.5	251717.4	281044.4	279441.555555556	
480	12	333701.8	304542.9	319686.4	299713.3	
480	24	356590.7	339022.6	350370.1	333971.6	
