nodes	links	cost	pcd_step	pcd_run	deeps_step	deeps_run	
20	3.0	0	57.1	57.1	77.3	61.8	
20	3.0	20	46.7	55.4	61.6	61.6	
20	3.0	25	44.3	54.9	57.8	59.6	
20	3.0	50	37.4	55.7	46.7	60.6	
20	3.0	100	28.4	56.2	34.0	62.3	
20	6	0	54.6	54.6	72.6	58.1	
20	6	20	46.6	55.4	61.0	60.4	
20	6	25	45.2	55.9	59.0	61.5	
20	6	50	36.7	54.7	45.9	59.4	
20	6	100	27.9	55.2	32.8	58.6	
20	12	0	55.9	55.9	73.1	59.0	
20	12	20	47.2	56.1	59.5	59.0	
20	12	25	44.9	55.6	56.4	58.3	
20	12	50	37.4	55.4	45.0	58.4	
20	12	100	28.0	55.4	32.7	59.2	
40	3.0	0	53.7	53.7	72.2	58.3	
40	3.0	20	44.5	52.8	56.2	55.5	
40	3.0	25	43.0	53.3	54.4	56.4	
40	3.0	50	35.7	53.2	44.5	57.6	
40	3.0	100	27.2	53.8	31.5	56.3	
40	6	0	52.7	52.7	67.6	54.9	
40	6	20	44.5	52.9	55.8	55.2	
40	6	25	42.6	52.8	52.8	54.9	
40	6	50	36.2	53.7	43.8	56.5	
40	6	100	26.9	53.2	30.9	55.4	
40	12	0	53.1	53.1	66.5	55.3	
40	12	20	44.3	52.6	54.8	55.0	
40	12	25	42.1	52.2	50.9	54.3	
40	12	50	35.8	53.1	42.6	55.4	
40	12	100	26.8	53.2	31.0	55.4	
80	3.0	0	51.4	51.4	66.6	54.3	
80	3.0	20	43.6	51.7	54.2	54.4	
80	3.0	25	41.8	51.8	52.0	54.5	
80	3.0	50	34.9	51.6	41.8	54.1	
80	3.0	100	26.0	51.8	30.5	54.5	
80	6	0	51.1	51.1	63.4	52.7	
80	6	20	43.2	51.3	52.1	52.8	
80	6	25	41.1	51.1	49.3	52.5	
80	6	50	34.6	51.3	40.5	52.9	
80	6	100	25.8	51.0	29.2	52.5	
80	12	0	50.9	50.9	61.2	52.1	
80	12	20	43.0	51.1	50.8	52.3	
80	12	25	40.8	50.8	48.6	52.0	
80	12	50	34.6	51.5	40.1	52.9	
80	12	100	26.0	51.4	29.0	52.2	
